country,age,gender,occupation,education_level,income_usd,daily_screen_time_hours,phone_unlocks_per_day,social_media_usage_hours,gaming_usage_hours,streaming_usage_hours,messaging_usage_hours,work_related_usage_hours,sleep_hours,physical_activity_hours,mental_health_score,depression_score,anxiety_score,stress_level,relationship_status,has_children,urban_or_rural,time_spent_with_family_hours,online_shopping_hours,has_screen_time_management_app,self_reported_addiction_level,monthly_data_usage_gb,has_night_mode_on,age_first_phone,push_notifications_per_day,tech_savviness_score,education_level_encoded,relationship_status_encoded,urban_or_rural_encoded,self_reported_addiction_level_encoded,gender_encoded,screen_time_bin,age_group,Screen_Time_Category,gender_Female,gender_Male,gender_Other,relationship_status_Divorced,relationship_status_In Relationship,relationship_status_Married,relationship_status_Single,is_rural,is_urban,has_children_0,has_children_1,Total_Entertainment_Hours,Overall_Mental_Health_Index,Anomali,Cluster,Outlier,Type,Stress_Category
3,32,1,4,1,43865.49,5.81,75,0.84,0.0,3.36,1.44,2.14,5.22,1.32,61.47,80.8,23.72,95.8,3,0,0,1.7,1.85,0,1,16.43,1,16,106,39.36,1.0,1,2,1,1,2,0,0,0,1,0,0,0,0,1,True,False,True,False,5.640000000000001,-5.3033333333333275,1,-1,False,0,0
8,26,1,0,2,41868.19,9.05,61,3.13,2.5,0.8,2.42,1.44,6.23,0.66,96.11,98.99,39.72,25.03,1,0,0,0.9,0.66,1,3,32.87,0,12,111,9.45,3.0,2,2,4,1,4,0,3,0,1,0,0,1,0,0,True,False,True,False,8.85,41.529999999999994,1,-1,False,0,1
2,70,2,1,1,59636.51,5.76,58,2.12,1.96,1.84,1.98,1.92,6.57,1.93,73.68,44.64,94.47,99.54,3,1,1,1.69,0.0,1,3,27.45,0,18,90,50.27,1.0,1,1,4,3,2,3,0,0,0,1,0,0,0,1,False,True,False,True,7.9,-5.86999999999999,1,-1,False,0,0
8,44,0,2,1,39022.07,6.71,80,1.6,2.7,1.9,2.43,1.82,7.27,0.94,53.42,10.89,5.03,66.49,1,0,1,1.11,0.17,1,2,30.85,0,17,60,30.82,1.0,2,1,2,2,3,1,0,1,0,0,0,1,0,0,False,True,True,False,8.63,25.950000000000003,1,-1,False,0,2
0,46,2,5,1,-783.98,6.31,136,1.51,1.73,1.48,1.3,1.76,5.43,1.04,67.01,37.54,17.29,14.72,0,0,1,1.06,0.58,0,0,10.38,1,18,127,21.7,1.0,4,1,3,3,3,2,0,0,0,1,1,0,0,0,False,True,True,False,6.0200000000000005,43.82666666666667,1,-1,False,0,1
4,34,1,5,3,19751.8,8.94,129,2.28,2.49,0.97,1.39,2.66,6.21,1.14,25.15,97.45,65.54,63.04,2,0,0,1.32,0.4,0,1,17.51,0,8,78,14.38,4.0,3,2,1,1,4,0,3,0,1,0,0,0,1,0,True,False,True,False,7.129999999999999,-50.19333333333335,1,-1,False,0,2
1,51,1,1,2,22956.76,4.18,65,1.75,2.07,0.33,1.58,1.98,4.84,1.33,4.94,27.16,80.16,83.2,1,0,1,1.08,0.88,1,3,44.52,0,11,82,79.63,3.0,2,1,4,1,2,2,2,0,1,0,0,1,0,0,False,True,True,False,5.7299999999999995,-58.56666666666666,1,-1,False,0,0
7,68,1,4,1,62102.93,10.05,87,2.13,2.99,1.67,2.06,1.51,6.81,1.43,44.33,95.16,20.94,62.53,0,1,0,1.02,0.77,1,1,26.66,0,12,102,52.16,1.0,4,2,1,1,4,3,3,0,1,0,1,0,0,0,True,False,False,True,8.85,-15.213333333333331,1,-1,False,0,2
6,33,2,4,1,26629.11,7.45,50,2.02,0.49,2.41,1.6,2.98,6.54,1.4,55.45,59.96,95.1,95.94,0,0,1,0.77,0.1,1,0,24.49,0,8,85,31.52,1.0,4,1,3,3,3,0,0,0,0,1,1,0,0,0,False,True,True,False,6.52,-28.21666666666667,1,-1,False,0,0
3,38,2,4,1,43121.39,6.87,95,2.27,0.0,2.44,1.37,2.55,6.04,1.55,85.13,38.3,4.32,33.65,0,0,1,1.74,1.82,1,0,29.05,0,14,120,97.4,1.0,4,1,3,3,3,1,0,0,0,1,1,0,0,0,False,True,True,False,6.08,59.70666666666666,1,-1,False,0,1
